step,source,target,domain,distance
10000,WAL,RUN,0,1.5893832445144653
10000,WAL,RUN,1,1.1566359996795654
10000,WAL,RUN,2,1.4855819940567017
10000,WAL,RUN,3,1.732042670249939
10000,WAL,RUN,4,2.100789785385132
10000,WAL,RUN,5,0.9618014097213745
10000,WAL,RUN,6,1.597373127937317
10000,WAL,RUN,7,1.3358572721481323
10000,WAL,RUN,8,1.012415885925293
10000,WAL,RUN,9,0.5175015926361084
10000,WAL,RUN,10,1.6744182109832764
10000,WAL,RUN,11,1.1846699714660645
10000,WAL,RUN,12,1.4547265768051147
10000,WAL,RUN,13,1.1472638845443726
10000,WAL,RUN,14,1.953951120376587
10000,WAL,RUN,15,1.0565615892410278
10000,WAL,RUN,16,1.3899579048156738
10000,WAL,RUN,17,1.8513307571411133
10000,WAL,RUN,18,1.139969825744629
10000,WAL,RUN,19,0.7665375471115112
10000,WAL,RUN,20,1.5987826585769653
10000,WAL,RUN,21,1.5785924196243286
10000,WAL,RUN,22,0.9895405173301697
10000,WAL,RUN,23,1.255846619606018
10000,WAL,RUN,24,1.5033752918243408
10000,WAL,RUN,25,1.2756273746490479
10000,WAL,RUN,26,1.2279164791107178
10000,WAL,RUN,27,1.4339711666107178
10000,WAL,RUN,28,1.4740968942642212
10000,WAL,RUN,29,1.5890223979949951
10000,WAL,RUN,30,2.131685733795166
10000,WAL,RUN,31,2.070712089538574
10000,WAL,RUN,32,1.6615997552871704
10000,WAL,RUN,33,1.409073829650879
10000,WAL,RUN,34,1.4667284488677979
10000,WAL,RUN,35,1.6548210382461548
10000,WAL,RUN,36,0.9510907530784607
10000,WAL,RUN,37,1.8626328706741333
10000,WAL,RUN,38,0.7845077514648438
10000,WAL,RUN,39,1.0125373601913452
10000,WAL,RUN,40,1.984990119934082
10000,WAL,RUN,41,0.9085110425949097
10000,WAL,RUN,42,1.2928555011749268
10000,WAL,RUN,43,1.4853079319000244
10000,WAL,RUN,44,1.9483109712600708
10000,WAL,RUN,45,1.019763708114624
10000,WAL,RUN,46,1.0885272026062012
10000,WAL,RUN,47,2.0680925846099854
10000,WAL,RUN,48,2.056764841079712
10000,WAL,RUN,49,2.1201679706573486
10000,WAL,RUN,50,1.3068217039108276
10000,WAL,RUN,51,1.2494769096374512
10000,WAL,RUN,52,1.095941424369812
10000,WAL,RUN,53,1.3990166187286377
10000,WAL,RUN,54,1.4693471193313599
10000,WAL,RUN,55,1.5185788869857788
10000,WAL,RUN,56,1.4298601150512695
10000,WAL,RUN,57,1.5580103397369385
10000,WAL,RUN,58,1.0483723878860474
10000,WAL,RUN,59,0.9260329604148865
10000,WAL,RUN,60,1.7046335935592651
10000,WAL,CLD,0,1.725055456161499
